Marca temporal,Tienes telefono,Redes sociales,Uso,Frecuencia de uso,Sueles colgar fotos tuyas,Tus amigos suben de ti?,Te piden permiso,"Twitter, sigues a los que te siguen?",Hay peligro en las redes sociales,Sexo,Edad
18/12/2014 18:02:31,Si smart,"Facebook, Twitter, Tuenti, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",solo algunas,Muchas,Algunos si,Solo a amigos y amigos de amigos,"No, no hay",M,12
18/12/2014 18:03:07,Si smart,"Instagram, Whatsapp","Contacto con amigos, Seguir a famosos",Algunos dias,no subo nada,Nunca,Siempre,,si,M,12
18/12/2014 18:03:35,"Si, movil","Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",no subo nada,Algunas,Nunca,rara vez,si,M,13
18/12/2014 18:04:01,"Si, movil","Facebook, Whatsapp","Contacto con amigos, Amigos antiguos",Algunos dias,solo algunas,Algunas,Algunos si,,si,M,12
18/12/2014 18:04:47,"Si, movil","Facebook, Twitter, Instagram, Google+","Contacto con amigos, Amigos antiguos, Subir fotos","Todos los dias, mas de una hora",solo algunas,Muchas,Siempre,"Si, siempre","No, no hay",M,12
18/12/2014 18:05:36,"Si, movil","Tuenti, Whatsapp, skype",Contacto con amigos,"Todos los dias, menos de una hora",no subo nada,Nunca,Siempre,,si,M,12
18/12/2014 18:06:57,Si smart,"Twitter, Tuenti, Instagram, Whatsapp",Subir fotos,"Todos los dias, mas de una hora",si sale mas gente pido permiso,Muchas,Algunos si,solo amigos,si,M,12
18/12/2014 18:07:37,Si smart,"Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos, Seguir a famosos",Algunos dias,solo algunas,Muchas,Algunos si,solo amigos,si,M,12
18/12/2014 18:08:05,Si smart,"Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Seguir a famosos",Algunos dias,solo algunas,Algunas,Algunos si,Solo a amigos y amigos de amigos,,M,12
18/12/2014 18:08:29,Si smart,"Instagram, Whatsapp","Contacto con amigos, Subir fotos","Todos los dias, menos de una hora",si sale mas gente pido permiso,Algunas,Algunos si,,si,M,12
18/12/2014 18:09:00,Si smart,"Facebook, Twitter, Instagram, Whatsapp","Contacto con amigos, Seguir a famosos","Todos los dias, menos de una hora",no subo nada,Algunas,Algunos si,"Si, siempre",no lo se,M,12
18/12/2014 18:09:26,Si smart,"Instagram, Whatsapp",Subir fotos,"Todos los dias, mas de una hora",si sale mas gente pido permiso,Algunas,Algunos si,,si,M,12
18/12/2014 18:09:49,Si smart,"Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Seguir a famosos","Algunos dias, Una vez a la semana",si sale mas gente pido permiso,Muchas,Siempre,,si,M,12
18/12/2014 18:12:05,Si smart,"Whatsapp, Line","Contacto con amigos, Amigos antiguos, Seguir a famosos","Todos los dias, menos de una hora",no subo nada,Muchas,Siempre,,si,M,12
18/12/2014 18:13:18,Si smart,"Facebook, Whatsapp, Line","Contacto con amigos, Subir fotos, jugar","Todos los dias, mas de una hora",si sale mas gente pido permiso,Nunca,Algunos si,solo amigos,si,M,12
18/12/2014 18:14:10,Si smart,"Facebook, Twitter, Instagram, Whatsapp, Line","Contacto con amigos, Amigos antiguos, Subir fotos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Algunas,Nunca,"Si, siempre",si,M,12
18/12/2014 18:14:43,"Si, movil","Instagram, Whatsapp, Line","Contacto con amigos, Amigos antiguos, Subir fotos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Muchas,Nunca,Solo a amigos y amigos de amigos,no lo se,M,12
18/12/2014 18:15:10,Si smart,"Instagram, Whatsapp","Contacto con amigos, Amigos antiguos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Algunas,Siempre,,si,M,12
18/12/2014 18:16:04,"Si, movil","Facebook, Twitter, Tuenti, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos","Todos los dias, mas de una hora",solo algunas,Muchas,Nunca,rara vez,si,M,12
18/12/2014 18:18:50,"Si, movil","Facebook, Twitter, Tuenti, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos","Todos los dias, mas de una hora",solo algunas,Muchas,Nunca,"solo amigos, rara vez",si,M,12
18/12/2014 18:19:42,"Si, movil","Facebook, Twitter, Tuenti, Instagram","Contacto con amigos, Subir fotos","Todos los dias, mas de una hora",Subo la mayoria,Muchas,Siempre,Solo a amigos y amigos de amigos,si,M,12
18/12/2014 18:20:12,Si smart,"Facebook, Tuenti, Instagram",Contacto con amigos,"Todos los dias, menos de una hora",si sale mas gente pido permiso,Algunas,Siempre,,"No, no hay",M,12
18/12/2014 18:20:39,,,,,,,,,si,M,12
18/12/2014 18:21:10,Si smart,Instagram,"Contacto con amigos, Subir fotos",Algunos dias,si sale mas gente pido permiso,Algunas,Siempre,,si,M,12
18/12/2014 18:21:43,"Si, movil","Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos",Algunos dias,solo algunas,Algunas,Algunos si,,si,M,12
